rank,step,epoch,train_loss,learning_rate,grad_norm
8,5,0.2222222222222222,1.6164997100830079,0.00011428571428571428,0.31880876421928406
8,10,0.4444444444444444,1.5917862892150878,0.00019948693233918952,0.322245717048645
8,15,0.6666666666666666,1.6330904006958007,0.00019377521321470805,0.28798553347587585
8,20,0.8888888888888888,1.5811426162719726,0.00018207634412072764,0.3362511098384857
8,25,1.0888888888888888,1.5125321388244628,0.00016513724827222227,0.2791573107242584
8,30,1.3111111111111111,1.4515836715698243,0.00014403941515576344,0.3917214274406433
8,35,1.5333333333333332,1.5321585655212402,0.00012012985200886602,0.254681795835495
8,40,1.7555555555555555,1.5162827491760253,9.493508311612874e-05,0.26153799891471863
8,45,1.9777777777777779,1.4175453186035156,7.006368770266421e-05,0.35437366366386414
8,50,2.1777777777777776,1.4414509773254394,4.710359896730379e-05,0.3335099518299103
8,55,2.4,1.4644521713256835,3.110330809243134e-05,0.29225486516952515
8,60,2.6222222222222222,1.4585365295410155,1.5135574250524897e-05,0.46557989716529846
8,65,2.8444444444444446,1.4387614250183105,4.586074359995119e-06,0.3524076044559479
16,5,0.2222222222222222,1.614304542541504,0.00011428571428571428,0.4498836100101471
16,10,0.4444444444444444,1.5735599517822265,0.00019948693233918952,0.40150323510169983
16,15,0.6666666666666666,1.6066892623901368,0.00019377521321470805,0.4340957999229431
16,20,0.8888888888888888,1.5554412841796874,0.00018207634412072764,0.4096214473247528
16,25,1.0888888888888888,1.4790803909301757,0.00016513724827222227,0.28411659598350525
16,30,1.3111111111111111,1.4161852836608886,0.00014403941515576344,0.30781418085098267
16,35,1.5333333333333332,1.4961807250976562,0.00012012985200886602,0.3200223445892334
16,40,1.7555555555555555,1.4801359176635742,9.493508311612874e-05,0.3568154573440552
16,45,1.9777777777777779,1.38021821975708,7.006368770266421e-05,0.4711701273918152
16,50,2.1777777777777776,1.388354206085205,4.710359896730379e-05,0.3934309184551239
16,55,2.4,1.4241183280944825,2.7520721277088024e-05,0.34802791476249695
16,60,2.6222222222222222,1.4136855125427246,1.2565338385541792e-05,0.5203626751899719
16,65,2.8444444444444446,1.3942130088806153,3.1922881133795825e-06,0.4551766514778137
64,5,0.2222222222222222,1.6016151428222656,0.00011428571428571428,1.3529831171035767
64,10,0.4444444444444444,1.524070930480957,0.00019948693233918952,0.6585973501205444
64,15,0.6666666666666666,1.5471070289611817,0.00019377521321470805,0.53739994764328
64,20,0.8888888888888888,1.504726505279541,0.00018207634412072764,0.6002103686332703
64,25,1.0888888888888888,1.4254197120666503,0.00016513724827222227,0.3635669946670532
64,30,1.3111111111111111,1.3454641342163085,0.00014403941515576344,0.4607984721660614
64,35,1.5333333333333332,1.4024540901184082,0.00012012985200886602,0.40908411145210266
64,40,1.7555555555555555,1.3812246322631836,9.493508311612874e-05,0.44919097423553467
64,45,1.9777777777777779,1.2976315498352051,7.006368770266421e-05,0.5315603017807007
64,50,2.1777777777777776,1.2705472946166991,4.710359896730379e-05,0.46016925573349
64,55,2.4,1.323880958557129,2.7520721277088024e-05,0.42542198300361633
64,60,2.6222222222222222,1.3081336975097657,1.2565338385541792e-05,0.6451590061187744
64,65,2.8444444444444446,1.2767634391784668,3.1922881133795825e-06,0.5331613421440125
